storm_id,storm_name,num_of_obs,datetime,category,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,central_pressure_mb,34_kt_ne_nm,34_kt_se_nm,34_kt_sw_nm,34_kt_nw_nm,50_kt_ne_nm,50_kt_se_nm,50_kt_sw_nm,50_kt_nw_nm,64_kt_ne_nm,64_kt_se_nm,64_kt_sw_nm,64_kt_nw_nm,radius_of_max_wind_nm
AL041851,UNNAMED,49,1851-08-23 12:00:00,3,,HU,28.5,-86.6,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-23 18:00:00,3,,HU,29.6,-86.1,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-23 21:00:00,3,L,HU,30.1,-85.7,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-24 00:00:00,2,,HU,30.7,-85.1,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-26 18:00:00,1,,HU,31.2,-88.1,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-11 12:00:00,1,,HU,27.8,-84.0,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-11 18:00:00,1,,HU,27.9,-83.4,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-12 00:00:00,1,L,HU,28.0,-82.8,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-12 06:00:00,Tropical Storm,,TS,28.1,-82.2,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-12 12:00:00,Tropical Storm,,TS,28.2,-81.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-12 18:00:00,Tropical Storm,,TS,28.5,-80.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-13 00:00:00,Tropical Storm,,TS,29.2,-79.0,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-09 12:00:00,2,,HU,28.0,-85.5,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-09 18:00:00,2,,HU,29.2,-84.9,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-09 21:00:00,2,L,HU,29.9,-84.4,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-10 00:00:00,1,,HU,30.5,-83.9,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031854,UNNAMED,25,1854-09-08 12:00:00,3,,HU,31.1,-80.9,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051856,UNNAMED,40,1856-08-30 18:00:00,3,,HU,27.5,-87.3,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051856,UNNAMED,40,1856-08-31 00:00:00,2,,HU,28.9,-86.6,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051856,UNNAMED,40,1856-08-31 06:00:00,2,L,HU,30.2,-85.9,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051856,UNNAMED,40,1856-08-31 12:00:00,1,,HU,31.1,-84.8,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
