storm_id,maximum_sustained_wind_knots_mean,maximum_sustained_wind_knots_max,central_pressure_mb_mean,central_pressure_mb_min,radius_of_max_wind_nm_mean,radius_of_max_wind_nm_max
AL011915,52.14285714,65,996.5,990,15,15
AL011926,70,90,967,967,15,15
AL011928,50.66666667,90,977,977,10,10
AL011966,76.66666667,90,975.5,970,30,30
AL021899,65.625,85,979,979,10,10
AL021906,73.57142857,75,979,979,25,25
AL021929,82.22222222,100,966.4,948,30,30
AL021949,89.28571429,115,969,954,20,20
AL021950,72.85714286,75,979,979,20,20
AL031903,70.33333333,80,980,976,45,45
AL031935,107.6923077,160,928.5,892,12.5,20
AL031965,99,100,953.4444444,950,30,30
AL032004,109.4444444,130,957.8888889,941,5,5
AL041896,107.5,110,961,960,15,15
AL041915,77.5,80,982,982,25,25
AL041917,93.75,100,949,949,40,40
AL041928,83.75,125,964.5,929,30,30
AL041947,98.63636364,115,945,943,15,15
AL041992,127.7272727,145,938.1818182,922,10,10
AL042005,111.25,125,941.125,930,5,5
AL051873,95,100,959,959,25,25
AL051910,68.57142857,105,955,955,30,30
AL051933,48,70,988,988,25,25
AL051936,68.52941176,90,976.4,964,20,20
AL051941,77.69230769,85,985.75,982,12.5,20
AL051950,81.81818182,105,967.6666667,960,15,15
AL051960,101.9230769,125,947.2307692,930,20,20
AL051964,63.46153846,95,984.5,968,10,10
AL051995,72.30769231,85,980.3846154,973,20,40
AL051997,53.07692308,70,992.6923077,984,10,10
AL051998,70,85,987.5,985,70,70
AL052021,55.625,65,998.625,996,24.375,40
AL061921,88.33333333,105,958,958,20,20
AL061946,72.14285714,80,979.6,979,35,35
AL061964,59.54545455,95,978.3333333,962,5,5
AL062004,70,95,971.6,958,30,30
AL062021,47.27272727,55,997.7272727,991,44.54545455,60
AL071888,85,95,970,970,10,10
AL071898,108.75,115,938,938,20,20
AL071926,100.3333333,125,947.5,930,17.5,20
AL071935,47.05882353,85,973,973,10,10
AL071956,66,80,974,974,20,20
AL081906,57.30769231,105,953,953,10,10
AL081948,104.375,115,951,940,10,10
AL091945,88.84615385,115,967.0769231,949,10,10
AL091948,87,90,979,979,15,15
AL091966,77.22222222,85,986.7777778,984,17.5,20
AL092004,47.27272727,110,990.5454545,931,25,25
AL092016,66,70,983.6,981,20,20
AL092021,85,90,971.5,967,20,20
AL092022,108.3333333,140,956.5333333,937,25.33333333,40
AL101924,76,90,978.6666667,975,20,20
AL102023,101.25,115,952,942,10.625,15
AL111909,100,100,957,957,20,20
AL111933,66.07142857,110,948,948,15,15
AL111950,87.5,115,974.8333333,955,5,5
AL111964,88,95,968.6666667,968,20,20
AL112004,73.33333333,105,965.1111111,950,45,45
AL112017,85.55555556,115,947,931,11.66666667,15
AL122005,85,145,966.3,909,15,15
AL131944,82.5,100,968.3333333,962,35,35
AL131985,86.25,95,968.5,965,10,10
AL131987,63.33333333,65,993,993,10,10
AL131999,65.5,70,984.9,982,40,40
AL132021,39,50,1002.6,1000,32,40
AL141916,95,95,970,970,20,20
AL141968,76.42857143,85,981.8888889,977,10,10
AL142018,130,140,929.5,919,10,10
AL171995,96.66666667,110,943.3333333,938,50,50
AL172022,47.5,65,986.75,980,65.83333333,110
AL192020,61.73913043,95,987.3478261,965,15,15
AL252005,105,110,951.5,950,25,25
