storm_id,storm_name,num_of_obs,datetime,category,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,central_pressure_mb,34_kt_ne_nm,34_kt_se_nm,34_kt_sw_nm,34_kt_nw_nm,50_kt_ne_nm,50_kt_se_nm,50_kt_sw_nm,50_kt_nw_nm,64_kt_ne_nm,64_kt_se_nm,64_kt_sw_nm,64_kt_nw_nm,radius_of_max_wind_nm
AL092022,IAN,40,2022-09-28 06:00:00,4,,HU,25.2,-82.9,120,945.0,120.0,130.0,100.0,150.0,70.0,60.0,60.0,70.0,35.0,35.0,30.0,35.0,20.0
AL092022,IAN,40,2022-09-28 12:00:00,5,,HU,26.0,-82.7,140,937.0,120.0,140.0,100.0,150.0,70.0,60.0,70.0,80.0,40.0,40.0,30.0,40.0,20.0
AL092022,IAN,40,2022-09-28 18:00:00,4,,HU,26.6,-82.4,135,938.0,130.0,150.0,100.0,150.0,50.0,60.0,70.0,80.0,30.0,40.0,30.0,45.0,20.0
AL092022,IAN,40,2022-09-28 12:00:00,5,,HU,26.0,-82.7,140,937.0,120.0,140.0,100.0,150.0,70.0,60.0,70.0,80.0,40.0,40.0,30.0,40.0,20.0
AL092022,IAN,40,2022-09-28 18:00:00,4,,HU,26.6,-82.4,135,938.0,130.0,150.0,100.0,150.0,50.0,60.0,70.0,80.0,30.0,40.0,30.0,45.0,20.0
AL092022,IAN,40,2022-09-28 19:05:00,4,L,HU,26.7,-82.2,130,941.0,130.0,150.0,100.0,150.0,50.0,60.0,70.0,80.0,30.0,40.0,30.0,45.0,20.0
AL092022,IAN,40,2022-09-28 18:00:00,4,,HU,26.6,-82.4,135,938.0,130.0,150.0,100.0,150.0,50.0,60.0,70.0,80.0,30.0,40.0,30.0,45.0,20.0
AL092022,IAN,40,2022-09-28 19:05:00,4,L,HU,26.7,-82.2,130,941.0,130.0,150.0,100.0,150.0,50.0,60.0,70.0,80.0,30.0,40.0,30.0,45.0,20.0
AL092022,IAN,40,2022-09-28 20:35:00,4,L,HU,26.8,-82.0,125,945.0,130.0,150.0,100.0,150.0,50.0,60.0,70.0,80.0,30.0,40.0,30.0,45.0,20.0
AL092022,IAN,40,2022-09-29 00:00:00,3,,HU,27.2,-81.7,100,960.0,180.0,120.0,120.0,220.0,50.0,60.0,50.0,70.0,30.0,40.0,30.0,45.0,20.0
