storm_id,storm_name,num_of_obs,datetime,category,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,central_pressure_mb,34_kt_ne_nm,34_kt_se_nm,34_kt_sw_nm,34_kt_nw_nm,50_kt_ne_nm,50_kt_se_nm,50_kt_sw_nm,50_kt_nw_nm,64_kt_ne_nm,64_kt_se_nm,64_kt_sw_nm,64_kt_nw_nm,radius_of_max_wind_nm
AL092022,IAN,40,9/28/2022 6:00,4,,HU,25.2,-82.9,120,945,120,130,100,150,70,60,60,70,35,35,30,35,20
AL092022,IAN,40,9/28/2022 12:00,5,,HU,26,-82.7,140,937,120,140,100,150,70,60,70,80,40,40,30,40,20
AL092022,IAN,40,9/28/2022 18:00,4,,HU,26.6,-82.4,135,938,130,150,100,150,50,60,70,80,30,40,30,45,20
AL092022,IAN,40,9/28/2022 12:00,5,,HU,26,-82.7,140,937,120,140,100,150,70,60,70,80,40,40,30,40,20
AL092022,IAN,40,9/28/2022 18:00,4,,HU,26.6,-82.4,135,938,130,150,100,150,50,60,70,80,30,40,30,45,20
AL092022,IAN,40,9/28/2022 19:05,4,L,HU,26.7,-82.2,130,941,130,150,100,150,50,60,70,80,30,40,30,45,20
AL092022,IAN,40,9/28/2022 18:00,4,,HU,26.6,-82.4,135,938,130,150,100,150,50,60,70,80,30,40,30,45,20
AL092022,IAN,40,9/28/2022 19:05,4,L,HU,26.7,-82.2,130,941,130,150,100,150,50,60,70,80,30,40,30,45,20
AL092022,IAN,40,9/28/2022 20:35,4,L,HU,26.8,-82,125,945,130,150,100,150,50,60,70,80,30,40,30,45,20
AL092022,IAN,40,9/29/2022 0:00,3,,HU,27.2,-81.7,100,960,180,120,120,220,50,60,50,70,30,40,30,45,20
